DATA,INCIDENCIA,Rt
24/03/2020,4,1.31
25/03/2020,5,1.25
26/03/2020,10,1.22
27/03/2020,12,1.17
28/03/2020,18,1.13
29/03/2020,23,1.10
30/03/2020,30,1.07
31/03/2020,25,1.03
01/04/2020,29,1.02
02/04/2020,32,0.99
03/04/2020,36,0.97
04/04/2020,39,0.96
05/04/2020,43,0.96
06/04/2020,45,0.94
07/04/2020,50,0.94
08/04/2020,52,0.91
09/04/2020,63,0.92
10/04/2020,68,0.91
11/04/2020,72,0.91
12/04/2020,75,0.90
13/04/2020,78,0.90
14/04/2020,81,0.91
15/04/2020,86,0.92
16/04/2020,92,0.93
17/04/2020,95,0.96
18/04/2020,100,0.94
19/04/2020,102,0.94
20/04/2020,103,0.93
21/04/2020,105,0.91
22/04/2020,105,0.91
23/04/2020,110,0.91
24/04/2020,110,0.86
25/04/2020,112,0.85
26/04/2020,119,0.83
27/04/2020,119,0.81
28/04/2020,120,0.83
29/04/2020,121,0.81
30/04/2020,125,0.81
01/05/2020,127,0.84
02/05/2020,128,0.86
03/05/2020,129,0.89
04/05/2020,131,0.91
05/05/2020,133,0.91
06/05/2020,135,0.92
07/05/2020,137,0.90
08/05/2020,140,0.91
09/05/2020,142,0.93
10/05/2020,143,0.93
11/05/2020,143,0.93
12/05/2020,145,0.94
13/05/2020,146,0.96
14/05/2020,146,0.96
15/05/2020,148,0.96
16/05/2020,149,0.97
17/05/2020,149,0.98
18/05/2020,150,0.99
19/05/2020,152,0.99
20/05/2020,153,1.00
21/05/2020,155,0.99
22/05/2020,156,1.03
23/05/2020,156,1.03
24/05/2020,157,1.04
25/05/2020,158,1.06
26/05/2020,159,1.05
27/05/2020,160,1.04
28/05/2020,161,1.05
29/05/2020,162,1.05
30/05/2020,162,1.03
31/05/2020,164,1.02
01/06/2020,164,1.04
02/06/2020,166,1.05
03/06/2020,166,1.03
04/06/2020,168,1.03
05/06/2020,169,1.01
06/06/2020,173,1.03
07/06/2020,172,1.00
08/06/2020,173,0.95
09/06/2020,173,0.94
10/06/2020,174,0.96
11/06/2020,174,0.95
12/06/2020,175,0.95
13/06/2020,176,0.97
14/06/2020,176,1.02
15/06/2020,176,1.06
16/06/2020,178,1.09
17/06/2020,179,1.09
18/06/2020,180,1.11
19/06/2020,182,1.10
20/06/2020,184,1.07
21/06/2020,186,1.05
22/06/2020,189,1.06
23/06/2020,192,1.04
24/06/2020,195,1.04
25/06/2020,196,1.02
26/06/2020,198,1.01
27/06/2020,200,1.00
28/06/2020,201,1.01
29/06/2020,203,1.00
30/06/2020,203,1.00
01/07/2020,205,1.00
02/07/2020,206,1.00
03/07/2020,207,0.99
04/07/2020,209,1.01
05/07/2020,209,1.00
06/07/2020,209,1.00
13/07/2020,209,0.91
14/07/2020,225,0.90
20/07/2020,232,0.89
27/07/2020,239,0.93
03/08/2020,247,0.97
10/08/2020,255,1.03
17/08/2020,265,1.00
24/08/2020,274,1.16
31/08/2020,284,1.13
07/09/2020,303,1.17
14/09/2020,328,1.13
21/09/2020,361,1.05
28/09/2020,388,1.08
05/10/2020,415,1.14
12/10/2020,448,1.25
19/10/2020,509,1.19
26/10/2020,603,1.18
10/11/2020,479,1.05
19/11/2020,579,1.01
25/11/2020,612,0.92
02/12/2020,519,0.91
08/12/2020,475,0.95
17/12/2020,490,0.97
20/12/2020,507,0.97
27/12/2020,481,1.10
05/01/2021,695,1.24
12/01/2021,1173,1.12
18/01/2021,1472,1.16
26/01/2021,1698,0.98
02/02/2021,1568,0.76
09/02/2021,986,0.63
16/02/2021,472,0.62
23/02/2021,241,0.72
02/03/2021,141,0.75
11/03/2021,105,0.78
