CONCELHO,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-13,2020-07-14,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,11-10-2020,2020-11-19,2020-11-25,12-02-2020,08-12-2020,2020-12-17,2020-12-20,2020-12-27,01-05-2021,01-12-2021,2021-01-18,2021-01-26,2021-02-02,02-09-2021,2021-02-16,2021-02-23,03/02/2021,03/09/2021,2021-03-16,2021-03-23,2021-03-30,04-06-2021,2021-04-13,2021-04-20,2021-04-27,2021-05-05,2021-05-12,2021-05-19,2021-05-25,2021-06-02,2021-06-09,2021-06-16,2021-06-23,2021-06-30,2021-07-07,2021-07-14,2021-07-21,2021-07-28,2021-08-04,2021-08-11,2021-08-18,2021-08-25,2021-09-01,2021-09-08,2021-09-15,2021-09-22,2021/09/29,2021/10/06,2021/10/13,2021/10/20,2021/10/27,2021/11/03,2021/11/10,2021/11/17,2021/11/24,2021/12/01,2021/12/08,2021/12/15,2021/12/22,2021/12/29,2022/01/05,2022/01/12,2022/01/19,2022/01/26
Abrantes,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,5,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,14,16,17,17,17,17,17,19,20,20,20,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,25,25,25,25,29,29,29,29,29,29,31,33,36,37,39,41,43,48,51,55,57,58,68,202,142,204,147,78,69,94,100,74,100,220,307,340,386,272,92,27,14,9,6,8,16,15,13,29,27,18,10,3,5,5,26,38,37,42,30,23,30,43,55,44,36,48,43,45,37,12,6,30,44,24,22,27,38,42,74,156,184,185,192,293,667,1152,1411,1688
Águeda,3,3,10,10,13,15,18,14,19,20,22,24,24,25,26,26,30,31,32,32,32,34,35,38,40,41,42,42,40,40,42,42,41,44,44,44,44,44,46,47,48,55,55,55,56,56,57,57,57,60,60,60,62,62,62,62,62,62,64,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,68,68,68,68,68,68,69,81,81,81,81,81,81,81,81,81,81,88,88,88,88,89,90,90,91,91,91,91,93,93,93,93,101,101,104,104,107,110,118,121,135,138,141,145,149,154,170,8,206,273,322,302,282,238,255,208,327,558,694,797,626,311,147,101,60,37,28,12,9,6,4,7,11,6,1,5,26,31,44,56,29,46,55,97,163,193,215,182,110,90,91,49,24,25,18,14,14,16,26,38,71,101,180,319,471,519,425,403,698,1177,2231,3939
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,29,30,31,0,8,11,11,30,33,50,25,19,64,193,294,299,223,93,24,4,2,2,1,0,4,5,3,4,2,4,4,0,1,1,1,1,1,0,0,0,2,3,2,5,13,12,6,3,3,5,7,5,2,0,0,1,2,3,2,5,10,20,20,12,43,101,194,346
Alandroal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,3,3,3,5,6,6,5,5,153,4,10,27,30,18,18,18,36,28,61,96,99,93,73,31,8,4,2,1,1,10,29,18,3,2,3,1,0,0,0,0,1,1,1,2,2,5,9,10,11,10,7,2,1,5,5,2,2,1,1,3,2,1,1,1,2,2,5,10,27,49,93,171,235
Albergaria-a-Velha,5,5,21,28,28,32,50,31,32,34,52,53,54,54,54,54,52,52,52,52,52,54,56,56,57,57,57,57,58,58,61,61,62,72,72,72,82,82,82,83,83,83,83,84,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,88,88,89,89,89,89,91,91,91,91,91,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,91,91,91,92,96,97,97,98,98,99,101,102,106,115,127,153,109,140,167,167,157,125,100,85,133,202,246,275,248,164,125,100,57,26,15,11,9,15,14,7,5,1,1,3,3,6,6,4,13,30,65,108,129,79,19,30,50,51,40,23,21,25,14,6,22,59,68,53,53,55,59,66,108,169,189,259,455,874,1627,2304
Albufeira,5,8,18,22,22,19,21,30,31,34,38,39,40,44,46,45,50,54,52,52,55,55,59,62,63,64,63,64,71,72,68,68,68,68,69,69,70,70,68,68,68,70,70,70,71,71,72,73,74,74,74,74,74,74,74,73,74,74,75,75,75,75,75,76,76,76,76,76,76,76,76,76,78,78,84,84,84,84,80,80,81,81,81,81,81,81,81,83,88,89,90,93,98,99,104,105,109,118,121,121,121,125,125,125,125,125,127,135,141,154,157,164,173,181,187,204,227,258,292,326,356,385,117,124,112,88,98,81,76,117,209,456,602,543,359,263,184,86,60,43,23,45,67,66,93,66,34,27,63,63,18,33,59,110,204,340,412,534,642,455,285,322,409,433,466,412,293,202,168,118,68,79,86,69,97,149,186,189,231,307,331,428,877,1415,1975,2564
Alcácer do Sal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,11,11,11,11,11,11,13,13,13,14,19,19,24,45,45,48,50,51,54,54,61,74,32,31,24,28,47,40,21,34,113,310,383,279,249,174,95,38,10,6,8,7,10,6,2,1,2,2,2,0,0,1,5,6,7,6,5,6,3,7,10,28,34,20,15,8,4,12,14,9,13,9,7,6,8,10,22,31,53,91,77,71,141,228,401,563
Alcanena,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,4,6,6,6,6,6,5,5,5,5,5,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,13,14,14,14,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,18,18,18,18,18,18,20,21,22,24,26,28,33,42,43,123,142,74,41,34,29,36,62,128,201,287,265,163,77,35,20,16,6,4,5,3,3,2,1,0,2,7,6,10,16,5,6,11,12,12,15,28,49,50,49,69,58,28,12,10,6,2,11,17,14,20,22,27,32,40,43,50,61,149,343,470,511,553
Alcobaça,0,0,0,0,0,0,0,0,3,3,3,5,5,6,7,7,7,7,7,7,7,8,8,9,10,11,12,12,20,20,24,24,25,27,27,27,27,27,27,28,29,29,30,30,30,30,30,30,30,31,31,36,36,37,38,38,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,42,42,45,45,45,45,45,46,48,49,50,50,57,62,66,66,66,91,91,91,95,104,104,104,104,105,105,106,106,106,106,106,106,106,106,106,105,112,129,142,149,152,156,174,182,185,199,223,230,259,96,186,206,137,103,86,118,141,313,620,742,761,672,428,207,69,45,17,17,21,17,9,15,23,21,9,9,13,6,2,2,25,37,42,72,88,120,117,87,108,168,167,128,90,65,71,90,72,42,55,77,90,88,133,232,258,286,349,577,1059,1787,2412,2523,3256
Alcochete,3,3,3,3,3,3,3,4,5,5,5,7,7,8,7,7,7,9,9,9,9,10,10,11,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,18,20,20,20,20,21,21,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,26,26,26,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,32,33,34,34,40,44,46,47,50,58,67,71,78,95,105,114,39,58,72,76,88,92,104,135,201,241,216,278,372,263,114,50,37,24,21,19,14,9,3,9,20,14,5,8,10,11,18,29,37,48,52,52,52,41,28,39,39,36,44,34,12,5,5,4,0,4,12,27,38,40,47,55,63,70,112,256,493,711,898,1088
