CONCELHO,2020/03/24,2020/03/25,2020/03/26,2020/03/27,2020/03/28,2020/03/29,2020/03/30,2020/03/31,2020/04/01,2020/04/02,2020/04/03,2020/04/04,2020/04/05,2020/04/06,2020/04/07,2020/04/08,2020/04/09,2020/04/10,2020/04/11,2020/04/12,2020/04/13,2020/04/14,2020/04/15,2020/04/16,2020/04/17,2020/04/18,2020/04/19,2020/04/20,2020/04/21,2020/04/22,2020/04/23,2020/04/24,2020/04/25,2020/04/26,2020/04/27,2020/04/28,2020/04/29,2020/04/30,2020/05/01,2020/05/02,2020/05/03,2020/05/04,2020/05/05,2020/05/06,2020/05/07,2020/05/08,2020/05/09,2020/05/10,2020/05/11,2020/05/12,2020/05/13,2020/05/14,2020/05/15,2020/05/16,2020/05/17,2020/05/18,2020/05/19,2020/05/20,2020/05/21,2020/05/22,2020/05/23,2020/05/24,2020/05/25,2020/05/26,2020/05/27,2020/05/28,2020/05/29,2020/05/30,2020/05/31,2020/06/01,2020/06/02,2020/06/03,2020/06/04,2020/06/05,2020/06/06,2020/06/07,2020/06/08,2020/06/09,2020/06/10,2020/06/11,2020/06/12,2020/06/13,2020/06/14,2020/06/15,2020/06/16,2020/06/17,2020/06/18,2020/06/19,2020/06/20,2020/06/21,2020/06/22,2020/06/23,2020/06/24,2020/06/25,2020/06/26,2020/06/27,2020/06/28,2020/06/29,2020/06/30,2020/07/01,2020/07/02,2020/07/03,2020/07/04,2020/07/05,2020/07/06,2020/07/13,2020/07/14,2020/07/20,2020/07/27,2020/08/03,2020/08/10,2020/08/17,2020/08/24,2020/08/31,2020/09/07,2020/09/14,2020/09/21,2020/09/28,2020/10/05,2020/10/12,2020/10/19,2020/10/26,2020/11/10,2020/11/19,2020/11/25,2020/12/02,2020/12/08,2020/12/17,2020/12/20,2020/12/27,2021/01/05,2021/01/12,2021/01/18,2021/01/26,2021/02/02,2021/02/09,2021/02/16,2021/02/23,2021/03/02,2021/03/09,2021/03/16,2021/03/23,2021/03/30,2021/04/06,2021/04/13,2021/04/20,2021/04/27,2021/05/05,2021/05/12,2021/05/19,2021/05/25,2021/06/02,2021/06/09,2021/06/16,2021/06/23,2021/06/30,2021/07/07,2021/07/14,2021/07/21,2021/07/28,2021/08/04,2021/08/11,2021/08/18,2021/08/25,2021/09/01,2021/09/08,2021/09/15,2021/09/22,2021/09/29,2021/10/06,2021/10/13,2021/10/20,2021/10/27,2021/11/03,2021/11/10,2021/11/17,2021/11/24,2021/12/01
Abrantes,3,-3,3,0,0,0,20,0,0,0,0,0,0,0,0,0,9,11,11,11,11,11,11,14,20,20,20,20,20,20,20,20,20,23,23,23,23,23,23,23,23,20,20,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,26,26,26,28,28,40,45,48,48,48,48,48,54,57,57,57,60,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,68,68,71,71,71,71,82,82,82,82,82,82,88,94,102,105,111,116,122,136,145,156,162,165,193,573,404,579,418,222,196,268,285,211,285,623,871,965,1096,771,262,77,40,26,17,23,46,43,37,83,77,51,28,9,14,14,74,108,105,120,86,66,86,123,157,126,103,137,123,129,106,34,17,86,126,69,63,77,109,120,209,443
Águeda,7,7,22,22,28,33,39,30,41,43,48,52,52,54,56,56,65,67,70,70,70,74,76,83,87,89,91,91,87,87,91,91,89,96,96,96,96,96,100,102,104,119,119,119,122,122,124,124,124,130,130,130,135,135,135,135,135,135,139,139,139,139,141,141,141,141,141,141,141,141,141,141,141,141,148,148,148,148,148,148,150,176,176,176,176,176,176,176,176,176,176,191,191,191,191,193,196,196,198,198,198,198,202,202,202,202,219,219,226,226,232,239,256,263,293,300,306,315,324,335,369,17,447,593,699,655,612,517,553,451,710,1213,1508,1732,1359,675,319,219,130,80,61,26,20,13,9,15,24,13,2,11,56,67,95,122,63,99,119,211,354,419,468,395,239,196,198,106,52,54,39,30,30,35,56,82,155,220,391,693
Aguiar da Beira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,511,618,639,660,0,172,234,236,645,709,1075,537,408,1354,4106,6255,6363,4751,1978,516,86,43,43,21,0,86,107,64,86,43,86,86,0,21,21,21,21,21,0,0,0,43,65,43,108,281,259,129,65,65,108,151,108,43,0,0,22,43,65,43,108
Alandroal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,60,60,60,60,60,60,60,99,119,119,99,99,3043,80,199,541,601,361,361,361,721,561,1222,1903,1963,1843,1442,621,160,80,40,20,20,200,581,361,60,40,60,20,0,0,0,0,20,20,20,41,41,102,184,204,225,204,143,41,20,102,102,41,41,20,20,61,41,20,20,20,41
Albergaria-a-Velha,21,21,87,116,116,133,207,128,133,141,215,220,224,224,224,224,215,215,215,215,215,224,232,232,236,236,236,236,240,240,253,253,257,298,298,298,340,340,340,344,344,344,344,348,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,365,365,365,369,369,369,369,377,377,377,377,377,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,377,377,377,381,398,402,402,406,406,410,418,423,439,476,526,634,451,580,692,692,650,518,414,352,551,837,1019,1139,1027,679,518,414,236,108,62,46,37,62,58,29,21,4,4,12,12,25,25,17,54,123,268,449,535,329,78,123,206,210,165,95,86,103,58,25,91,243,280,218,218,226,243,272
Albufeira,12,19,44,53,53,46,51,73,75,82,92,94,97,106,111,109,121,131,126,126,133,133,143,150,152,155,152,155,172,174,165,165,165,165,167,167,169,169,165,165,165,169,169,169,172,172,174,177,179,179,179,179,179,179,179,177,179,179,181,181,181,181,181,184,184,184,184,184,184,184,184,184,189,189,203,203,203,203,194,194,196,196,196,196,196,196,196,201,213,215,218,225,237,240,252,254,264,286,293,293,293,302,302,302,302,302,307,327,341,373,380,397,419,438,453,494,549,624,707,789,861,932,284,300,272,212,236,197,185,284,506,1103,1457,1315,869,636,445,207,144,104,55,108,161,159,226,159,82,65,152,152,43,79,142,265,494,823,997,1291,1553,1100,689,778,990,1047,1128,997,708,489,406,286,165,191,208,167,234,360,451,458
Alcácer do Sal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,34,34,34,34,34,34,34,34,34,34,34,34,43,43,43,43,43,43,43,51,51,51,51,51,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,68,77,86,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,86,94,94,94,94,94,94,111,111,111,120,163,163,205,385,385,411,428,436,462,462,522,633,274,265,206,240,403,343,180,292,969,2650,3276,2384,2127,1492,815,326,86,51,69,60,86,51,17,9,17,17,17,0,0,9,43,51,60,52,43,52,26,61,87,243,294,173,130,69,35,104,121,78,113,78,61,52,69,87,191,268
Alcanena,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,23,23,23,23,23,23,23,31,47,47,47,47,47,39,39,39,39,39,55,55,55,55,55,55,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,70,70,70,86,86,86,86,86,86,86,86,86,86,86,101,109,109,109,109,117,117,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,132,140,140,140,140,140,140,140,156,164,171,187,203,218,257,327,336,958,1109,578,320,265,226,281,484,999,1569,2233,2061,1273,601,273,156,125,47,31,39,23,23,16,8,0,16,55,47,78,125,39,47,85,93,93,117,218,381,389,381,536,451,218,93,78,47,16,85,132,109,155,171,210,249,311
Alcobaça,0,0,0,0,0,0,0,0,6,6,6,9,9,11,13,13,13,13,13,13,13,15,15,17,19,21,22,22,37,37,45,45,47,50,50,50,50,50,50,52,54,54,56,56,56,56,56,56,56,58,58,67,67,69,71,71,73,73,73,73,73,73,73,73,73,73,75,75,75,75,75,75,78,78,84,84,84,84,84,86,90,91,93,93,106,116,123,123,123,170,170,170,177,194,194,194,194,196,196,198,198,198,198,198,198,198,198,198,196,209,241,265,278,284,291,325,340,345,371,416,429,483,179,347,385,256,192,161,220,263,584,1156,1384,1419,1253,799,387,129,84,32,32,39,32,17,28,43,39,17,17,24,11,4,4,47,69,78,134,164,223,218,162,201,313,311,238,167,121,132,167,134,78,102,143,167,164,249,432,482
Alcochete,15,15,15,15,15,15,15,20,25,25,25,36,36,41,36,36,36,46,46,46,46,51,51,56,61,66,66,66,66,66,71,71,71,71,71,71,71,71,71,71,81,81,81,81,81,81,81,81,81,92,102,102,102,102,107,107,112,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,127,127,127,127,127,127,127,127,127,132,132,132,137,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,163,168,173,173,204,224,234,239,255,295,341,361,397,484,534,580,197,295,364,389,450,470,531,687,1021,1228,1097,1415,1895,1339,581,253,187,121,106,96,71,45,15,45,101,71,25,40,51,56,91,147,187,246,266,266,266,211,145,201,201,181,226,171,60,25,25,20,0,20,60,135,191,206,241,281
